Piazzata,Chiuse,Dettagli,Tipo,Quota,Puntata (€),Responsabilità (€),Profitto/Perdita,Stato
12-feb-26 21:08:24,12-feb-26 21:43:21,"Sion - Basilea Over 1,5 goal-Over/Under 1,5 gol | ID scommessa Betfair 1:418267874489 | ID Scommessa AdM bc0000000062d5cc4308",Punta,1.67,"2,00", -- ," 1,34 ",Vinta
12-feb-26 20:45:25,12-feb-26 21:41:39,"Antwerp - Anderlecht Under 2,5 goal-Over/Under 2,5 gol | ID scommessa Betfair 1:418265016546 | ID Scommessa AdM bc0000000062d4534608",Punta,2.74,"2,50", -- ," -2,50 ",Persa
12-feb-26 20:57:37,12-feb-26 21:28:04,"Universitatea Craiova - FCSB Over 4,5 goal-Over/Under 4,5 gol | ID scommessa Betfair 1:418266316874 | ID Scommessa AdM bc00000000240447ef0a",Punta,1.76,"3,00", -- ," -3,00 ",Persa
12-feb-26 20:30:34,12-feb-26 21:02:32,"Aarhus - Midtjylland Over 1,5 goal-Over/Under 1,5 gol | ID scommessa Betfair 1:418263264979 | ID Scommessa AdM bc00000000240299c50a",Punta,1.80,"10,00", -- ," -10,00 ",Persa
12-feb-26 19:50:07,12-feb-26 20:56:45,"Universitatea Craiova - FCSB Over 3,5 goal-Over/Under 3,5 gol | ID scommessa Betfair 1:418259381008 | ID Scommessa AdM bc0000000062d182e408",Punta,1.62,"5,00", -- ," 3,10 ",Vinta
12-feb-26 19:06:16,12-feb-26 20:51:16,"Hafnarfjordur - IBV Over 2,5 goal-Over/Under 2,5 gol | ID scommessa Betfair 1:418255361461 | ID Scommessa AdM bc0000000023fed0360a",Punta,1.40,"3,00", -- ," -3,00 ",Persa
12-feb-26 18:49:23,12-feb-26 20:38:07,Wolfsburg (F) - Juventus (F) Pareggio o ospite-Doppia Chance | ID scommessa Betfair 1:418253915613 | ID Scommessa AdM bc0000000062ced5ff08,Punta,2.32,"3,00", -- ," 3,96 ",Vinta
12-feb-26 19:23:06,12-feb-26 20:28:35,"Aarhus - Midtjylland Over 0,5 goal-Over/Under 0,5 gol | ID scommessa Betfair 1:418256845615 | ID Scommessa AdM bc00000000409c8b9509",Punta,1.25,"10,00", -- ," 2,50 ",Vinta
12-feb-26 18:33:23,12-feb-26 20:28:19,Al-Quadisiya (KSA) - NEOM Sports Club Al-Quadisiya (KSA)-Esito Finale | ID scommessa Betfair 1:418252489093 | ID Scommessa AdM bc0000000062ce124208,Punta,1.54,"5,00", -- ," 2,70 ",Vinta
12-feb-26 20:16:01,12-feb-26 20:27:01,"Al-Hazm (KSA) - Al-Akhdoud Under 3,5 goal-Over/Under 3,5 gol | ID scommessa Betfair 1:418261929329 | ID Scommessa AdM bc000000002401f85b0a",Punta,1.42,"4,00", -- ," 1,68 ",Vinta
